tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,10,0,1,0,24,-1
2,13,0,3,30,24,-1
3,20,0,5,30,24,-1
4,30,1,9,62,24,-1
5,33,6,13,62,24,-1
6,29,11,17,94,24,-1
7,28,15,21,94,24,-1
8,27,21,23,126,24,-1
9,20,31,24,126,24,-1
10,29,35,25,155,24,-1
11,43,40,26,155,24,-1
12,67,45,26,187,24,-1
13,84,49,26,187,24,-1
14,97,63,26,219,24,-1
15,128,83,26,219,24,-1
16,136,112,26,271,24,-1
17,151,133,27,271,24,-1
18,170,160,28,327,24,-1
19,159,211,32,327,24,-1
20,169,247,35,383,24,-1
21,172,282,38,383,24,-1
22,161,327,41,446,24,-1
23,170,363,43,446,24,-1
24,153,408,46,507,24,-1
25,136,447,48,507,24,-1
26,138,482,50,574,24,-1
27,130,526,52,574,24,-1
28,138,556,54,632,24,-1
29,154,579,56,632,24,-1
30,175,616,58,688,24,-1
31,189,652,60,688,24,-1
32,202,691,62,748,24,-1
33,210,728,64,748,24,-1
34,203,785,66,812,24,-1
35,199,835,67,812,24,-1
36,201,889,69,888,24,-1
37,212,935,70,888,24,-1
38,210,985,71,1002,24,-1
39,217,1031,75,1002,24,-1
40,211,1086,82,1138,24,-1
41,206,1143,88,1138,24,-1
42,218,1189,96,1280,24,-1
43,224,1238,104,1280,24,-1
44,230,1282,112,1424,24,-1
45,228,1332,121,1424,24,-1
46,229,1386,126,1568,24,-1
47,232,1446,130,1568,24,-1
48,241,1499,132,1720,24,-1
49,228,1551,133,1720,24,-1
50,207,1609,135,1880,24,-1
51,189,1674,138,1880,24,-1
52,169,1736,141,2046,24,-1
53,174,1775,146,2046,24,-1
54,187,1811,149,2210,24,-1
55,179,1858,153,2210,24,-1
56,179,1900,158,2386,24,-1
57,164,1945,163,2386,24,-1
58,143,1988,168,2562,24,-1
59,131,2025,171,2562,24,-1
60,119,2067,173,2709,24,-1
61,101,2100,174,2709,24,-1
62,92,2126,174,2805,24,-1
63,77,2153,175,2805,24,-1
64,59,2184,176,2891,24,-1
65,50,2200,178,2891,24,-1
66,41,2215,180,2950,24,-1
67,41,2226,181,2950,24,-1
68,38,2238,182,3000,24,-1
69,35,2246,182,3000,24,-1
70,42,2254,182,3056,24,-1
71,43,2266,182,3056,24,-1
72,35,2276,182,3112,24,-1
73,30,2281,183,3112,24,-1
74,14,2296,184,3162,24,-1
75,2,2307,185,3162,24,-1
76,1,2308,185,3167,24,-1
77,0,2309,185,3167,24,77
