tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,86,2,2,37,24,-1
2,70,10,10,109,24,-1
3,98,10,10,109,24,-1
4,106,76,24,208,24,-1
5,156,76,24,208,24,-1
6,129,136,42,312,24,-1
7,191,136,42,312,24,-1
8,106,203,60,419,24,-1
9,197,245,67,419,24,-1
10,280,245,67,419,24,-1
11,219,301,72,542,24,-1
12,367,301,80,686,24,-1
13,234,514,84,686,24,-1
14,234,514,84,686,24,-1
15,253,586,86,833,24,-1
16,344,664,91,833,24,-1
17,276,830,102,995,24,-1
18,199,907,102,995,24,-1
19,346,907,118,1160,24,-1
20,158,1088,125,1328,24,-1
21,330,1088,132,1328,24,-1
22,273,1240,137,1496,24,-1
23,368,1240,137,1496,24,-1
24,436,1240,140,1496,24,-1
25,264,1408,144,1664,24,-1
26,249,1505,145,1664,24,-1
27,176,1670,146,1808,24,-1
28,229,1670,146,1808,24,-1
29,283,1670,149,1968,24,-1
30,239,1843,150,2107,24,-1
31,128,1951,153,2107,24,-1
32,220,1951,153,2107,24,-1
33,251,1951,156,2234,24,-1
34,124,2076,158,2234,24,-1
35,76,2161,164,2343,24,-1
36,76,2161,164,2343,24,-1
37,70,2193,167,2436,24,-1
38,55,2234,169,2519,24,-1
39,69,2234,169,2519,24,-1
40,23,2286,172,2572,24,-1
41,23,2286,173,2572,24,-1
42,10,2299,173,2572,24,-1
43,0,2307,175,2610,24,43
