tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,3,0,0,0,24,-1
2,11,0,0,67,24,-1
3,23,0,2,67,24,-1
4,37,2,4,160,24,-1
5,60,2,10,160,24,-1
6,72,10,19,293,24,-1
7,80,21,26,293,24,-1
8,96,32,38,439,24,-1
9,95,51,46,439,24,-1
10,101,70,56,601,24,-1
11,112,89,64,601,24,-1
12,103,112,74,785,24,-1
13,109,136,83,785,24,-1
14,108,162,94,955,24,-1
15,106,187,104,955,24,-1
16,103,202,111,1076,24,-1
17,89,234,116,1076,24,-1
18,82,255,119,1156,24,-1
19,66,283,122,1156,24,-1
20,59,300,125,1236,24,-1
21,61,317,128,1236,24,-1
22,67,331,131,1321,24,-1
23,86,343,133,1321,24,-1
24,104,354,135,1417,24,-1
25,112,373,138,1417,24,-1
26,113,395,140,1545,24,-1
27,99,426,143,1545,24,-1
28,85,457,148,1679,24,-1
29,76,482,152,1679,24,-1
30,72,505,157,1783,24,-1
31,73,518,162,1783,24,-1
32,67,534,167,1886,24,-1
33,67,549,171,1886,24,-1
34,50,567,177,2010,24,-1
35,32,582,184,2010,24,-1
36,19,595,187,2101,24,-1
37,8,604,189,2101,24,-1
38,5,608,191,2139,24,-1
39,4,608,192,2139,24,-1
40,1,610,193,2150,24,-1
41,1,610,193,2150,24,-1
42,0,611,193,2150,24,42
