tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,3,0,0,0,24,-1
2,9,0,2,40,24,-1
3,10,0,4,40,24,-1
4,12,2,5,105,24,-1
5,16,2,8,105,24,-1
6,16,5,10,174,24,-1
7,19,8,15,174,24,-1
8,22,12,19,263,24,-1
9,26,14,23,263,24,-1
10,37,15,27,346,24,-1
11,28,23,31,346,24,-1
12,29,29,35,421,24,-1
13,27,38,39,421,24,-1
14,23,44,42,495,24,-1
15,20,47,45,495,24,-1
16,15,56,46,558,24,-1
17,12,63,47,558,24,-1
18,13,63,48,614,24,-1
19,13,66,51,614,24,-1
20,7,71,54,674,24,-1
21,1,74,57,674,24,-1
22,0,75,57,674,24,22
