tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,10,0,1,0,24,-1
2,22,0,3,58,24,-1
3,31,0,8,58,24,-1
4,41,3,15,145,24,-1
5,46,10,23,145,24,-1
6,43,16,29,237,24,-1
7,44,24,38,237,24,-1
8,38,34,44,341,24,-1
9,37,46,50,341,24,-1
10,53,49,56,474,24,-1
11,57,60,62,474,24,-1
12,64,65,70,594,24,-1
13,66,77,72,594,24,-1
14,60,97,76,693,24,-1
15,68,110,80,693,24,-1
16,76,124,85,784,24,-1
17,78,140,90,784,24,-1
18,83,153,94,883,24,-1
19,88,173,97,883,24,-1
20,97,193,101,1003,24,-1
21,99,213,106,1003,24,-1
22,84,235,114,1149,24,-1
23,81,257,118,1149,24,-1
24,59,284,123,1256,24,-1
25,46,302,127,1256,24,-1
26,38,314,131,1366,24,-1
27,21,333,135,1366,24,-1
28,22,339,137,1406,24,-1
29,30,342,137,1406,24,-1
30,36,346,138,1443,24,-1
31,38,352,141,1443,24,-1
32,32,361,143,1510,24,-1
33,26,371,146,1510,24,-1
34,17,379,149,1574,24,-1
35,4,389,152,1574,24,-1
36,4,390,154,1598,24,-1
37,2,391,155,1598,24,-1
38,2,391,155,1609,24,-1
39,1,391,156,1609,24,-1
40,0,392,156,1609,24,40
