tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,10,0,1,0,24,-1
2,21,0,6,94,24,-1
3,20,0,11,94,24,-1
4,20,2,18,169,24,-1
5,24,5,24,169,24,-1
6,23,10,29,217,24,-1
7,24,13,32,217,24,-1
8,19,17,35,273,24,-1
9,19,23,38,273,24,-1
10,21,29,39,337,24,-1
11,28,32,39,337,24,-1
12,46,33,40,421,24,-1
13,48,41,42,421,24,-1
14,55,50,46,525,24,-1
15,59,60,49,525,24,-1
16,50,78,55,632,24,-1
17,48,88,61,632,24,-1
18,39,102,64,735,24,-1
19,34,111,66,735,24,-1
20,36,122,68,830,24,-1
21,32,131,73,830,24,-1
22,37,137,76,943,24,-1
23,44,142,82,943,24,-1
24,39,152,88,1074,24,-1
25,34,158,95,1074,24,-1
26,23,167,104,1199,24,-1
27,21,174,109,1199,24,-1
28,11,179,116,1306,24,-1
29,11,180,118,1306,24,-1
30,8,184,121,1387,24,-1
31,8,186,123,1387,24,-1
32,14,186,126,1475,24,-1
33,15,186,129,1475,24,-1
34,13,189,133,1568,24,-1
35,8,193,134,1568,24,-1
36,6,197,137,1647,24,-1
37,5,199,141,1647,24,-1
38,6,199,142,1702,24,-1
39,7,199,144,1702,24,-1
40,4,200,146,1756,24,-1
41,1,203,146,1756,24,-1
42,4,203,148,1819,24,-1
43,2,204,150,1819,24,-1
44,0,204,152,1841,24,44
