tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,10,0,1,0,24,-1
2,12,0,2,52,24,-1
3,18,0,3,52,24,-1
4,19,2,6,129,24,-1
5,18,9,9,129,24,-1
6,24,11,12,213,24,-1
7,25,16,16,213,24,-1
8,30,19,22,301,24,-1
9,22,26,27,301,24,-1
10,18,32,32,389,24,-1
11,17,36,36,389,24,-1
12,17,38,37,461,24,-1
13,16,38,38,461,24,-1
14,12,45,39,501,24,-1
15,11,51,39,501,24,-1
16,11,54,41,541,24,-1
17,17,54,43,541,24,-1
18,22,54,45,586,24,-1
19,22,58,48,586,24,-1
20,20,62,49,637,24,-1
21,15,68,50,637,24,-1
22,16,72,51,697,24,-1
23,16,78,52,697,24,-1
24,21,80,52,768,24,-1
25,23,82,53,768,24,-1
26,20,87,57,858,24,-1
27,18,91,59,858,24,-1
28,16,96,60,938,24,-1
29,14,100,62,938,24,-1
30,7,105,66,1015,24,-1
31,0,107,71,1015,24,31
